Performance,1.04,0.84,1.97,1.03,1.3,0.55,1.46,1.72,0.35,0.4,1.75,1.45,1.58,0.34,0.24,0.64,1.1,0.3,0.65,0.59,0.6,0.65,0.75,1.5,0.49,1.67,1.42,2.25,0.94,0.82,0.57,1.75,1,1.25,1.75,0.75,1.25,1.5,2,1.75,1.75,2,1,2.5,2.5,,1.25
Li,8.6666666667,4,0,10.3333333333,23,,1.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0,0,2,0,12,6.6666666667,0,0,4.5,3.5,0,0,15,0,6,41,0,0,0,9,14.5,0,0,0
B,0,0,0,0,0,,30.3333333333,0,0,0,0,0,0,0,120,7.6666666667,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,22,0,360.5,180,0,0
C,86.6666666667,38.3333333333,24.3333333333,46.6666666667,39,16,41,57,46.6666666667,288.3333333333,135,38.3333333333,111.6666666667,91.6666666667,416.6666666667,108.3333333333,275,345,11.5,27.5,9,410,880,60,45,171.6666666667,161.6666666667,115,266.6666666667,66.6666666667,85,380,17.5,65,37,360,130,40,35,22.5,12.5,10,22,6.5,32,32.5,30
N,58.3333333333,12.3333333333,14,5.3333333333,7.6666666667,10,11,12.6666666667,5,41.6666666667,12,11.6666666667,2,63.3333333333,4.3333333333,11.3333333333,9.5,5.5,3,10.5,14,7.5,120,17,20,28.3333333333,95,26,43.3333333333,8.3333333333,38.5,8.5,4.5,6,7.5,15,5,7,6,10.5,5,7,28,37.5,15,12.5,4
O,88.3333333333,33.3333333333,47.3333333333,35,37.3333333333,530,186.6666666667,180,55,740,146.6666666667,210,146.6666666667,678.3333333333,270,240,245,330,40,62.5,57.5,280,740,105,185,300,300,140,543.3333333333,63.3333333333,150,245,60,150,220,425,235,75,150,180,85,107,62,300,110,105,30
Na,83.6666666667,20.3333333333,19.6666666667,53.3333333333,111.3333333333,8,3.3333333333,0,4.6666666667,11,143.3333333333,11,18.6666666667,38.6666666667,36.6666666667,13.6666666667,34.5,385,2.5,12,79,200,73,7,18.5,54.3333333333,69.3333333333,67,132.6666666667,31.3333333333,21.5,216.5,481.5,21,9.5,105,23,6,750,15,0,0,19,12.5,0,0,0
Mg,16.3333333333,76.6666666667,74.6666666667,16.6666666667,43,43,70.3333333333,36,26,45.3333333333,37,39.3333333333,40,11.3333333333,23,23.6666666667,8,195,56.5,10,84,26.5,21,17,21,14.3333333333,45,6,19,140,14.5,17.5,30,10,35,55,70.5,180,34,27,11.5,64,24,68,137,30.5,190
Al,516.6666666667,2596.6666666667,4720,21.3333333333,68.3333333333,36,1573.3333333333,84.3333333333,44.6666666667,1700,737,23.3333333333,22.3333333333,32,73.6666666667,42.3333333333,26.5,450,42,32.5,330,19,16,52,54.5,39,30.3333333333,34,167.3333333333,69.3333333333,30,20,89,56,490,34,30.5,15,45,25,28.5,8,39,2.5,0,14,22
Si,13.3333333333,2,5.6666666667,12.3333333333,15.3333333333,29,8.3333333333,0,9.3333333333,40,2,7.3333333333,2,21,12.6666666667,94,9.5,20.5,14.5,4.5,95,10,0,4,20.5,0,23.6666666667,23,1139,2.3333333333,10,0,3.5,0,0,12,6,0,10,5.5,16,2,5,0,0,0,0
P,0,2.6666666667,0,0,1,,0,0,27,4,0,0,0,0,0,0,0,6,0,0,0,6,0,0,5.5,0,0,3,5.6666666667,0,4,0,0,0,0,0,2.5,0,0,15.5,10.5,0,26,0,0,0,0
S,26,114.6666666667,0,28.6666666667,61.6666666667,,44.3333333333,61.6666666667,35.6666666667,53.3333333333,16.6666666667,0,12,37,0,0,74.5,160,32.5,137.5,0,0,19,0,0,0,21.6666666667,21,0,78,0,0,0,0,0,67,105,28,18,0,145,57.5,135,106,99,185,69
Cl,6.6666666667,3.6666666667,10,3.6666666667,3.6666666667,68,6.3333333333,9.3333333333,10.6666666667,21.6666666667,12,4.6666666667,0,21.6666666667,7.3333333333,15.3333333333,29,37.5,24,14,0,7.5,0,0,23.5,14.3333333333,14.3333333333,0,87.6666666667,0,0,0,200,0,0,13,19.5,6,0,0,20,2,39,57.5,0,0,0
Ti,0.6666666667,0,0,0,0,0,0,0,0.2333333333,0,0,0,0,0.3333333333,0.6666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cr,0,0,0,0,4.6666666667,0,2.3333333333,0,2,156.6666666667,0,2.6666666667,0,0,0,0,0,0,0,3.5,0,0,0,0,31.5,16.6666666667,6.6666666667,0,14,2.6666666667,13.5,0,0,0,0,9,0,6,13,0,0,0,6,0,2.5,0,0
Mn,0,0,0,0,0,0,0,0,0,132.3333333333,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fe,21.3333333333,36.6666666667,49.6666666667,0,32.6666666667,65,10,18.3333333333,1833.3333333333,2133.3333333333,0,40.3333333333,55.6666666667,25,0,113.3333333333,37,235,34.5,37.5,185,29.5,0,0,46,0,0,70,0,167.3333333333,0,66.5,44,0,0,155,98,210,68,48.5,33,30,180,13.5,97,0,35
Co,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ni,0,0,0,0,4.3333333333,0,3.6666666667,0,0,52.3333333333,0,0,0,0,0,4.6666666667,0,0,0,10.5,0,29,0,0,50,0,24,0,21.6666666667,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0
Cu,43.3333333333,0,0,0,132.3333333333,0,12.3333333333,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,53.3333333333,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0
Zn,,,,,,,,,,,4.8666666667,,,,,,,,,,,,4.4,3.4,,,,3.1,,,,4.3,3.6,4,5.5,3.5,3.9,5.1,4.5,3.7,3.1,4.1,4,3.5,4.3,3.1,7.1
As,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
In,8733.3333333333,14466.6666666667,7666.6666666667,6433.3333333333,15900,65000,3833.3333333333,4266.6666666667,3400,3933.3333333333,2866.6666666667,4700,3800,5866.6666666667,5666.6666666667,2366.6666666667,5500,9350,7450,7200,4950,3700,1100,11750,4700,4033.3333333333,4433.3333333333,12200,4233.3333333333,4466.6666666667,2700,4050,4250,3200,5200,5100,4650,2900,4500,4550,6150,2100,5200,3850,5900,3950,3800
Er,1533.3333333333,2416.6666666667,3250,3400,24433.3333333333,33,1900,1723.3333333333,0,2366.6666666667,30523.3333333333,1833.3333333333,1633.3333333333,960,2900,1193.3333333333,1250,1230,3700,4550,3800,2730,500,475,23050,3033.3333333333,9933.3333333333,43100,6400,1663.3333333333,2270,230,920,320,1700,1700,230,320,50000,230,2065,74,900,7,0,121,310
